!! # Radio information (in parts):
Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
156,LPD-65,434.675,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
157,LPD-66,434.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
158,LPD-67,434.725,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
159,LPD-68,434.75,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
160,LPD-69,434.775,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
161,Car-test,433.9,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,
162, Sch Ap/D,119.05,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
163, Sch Ap/D,118.075,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
164, Sch Ap/D,121.2,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
165, Sch Arr 1,118.4,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
166, Sch Arr 2,131.15,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
167, Sch Appr.,126.675,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
168, Sch Twr 1,119.225,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
169, Sch Twr 2,119.225,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
170, Sch Twr 3,118.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
171, Sch Twr 4,118.275,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
172, Sch Twr 5,119.9,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
173, Sch Deliv,121.975,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
174, Sch Plann,121.65,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
175, Sch Grnd,121.5675,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
176, Sch Grnd,121.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
177, Sch Grnd,121.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
178, Sch Grnd,121.9,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
179, Sch Grnd,121.59,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
180, Hivs Radi,131.025,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
181, Rott App,124.5325,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
182, Rott Twr,118.2,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
183, Rott App,126.675,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
184, Rott Twr,119.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
185, Rott Del,122.175,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
186, Rott Info,128.565,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
187, Eelde Twr,118.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
188, Eelde App,120.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
189, Eelde Del,121.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
190, Airballon,122.25,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
191, Lely Info,120.725,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
192, Lely Appr,121.54,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
193, Lely Appr,120.825,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
194, Lely Del1,123.675,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
195, Lely Del2,123.825,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
196, Lely Twr,135.175,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
197, Kooy Twr,120.125,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
198, Kooy Grnd,121.725,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
199, Kooy Arr,124.225,,0,,88.5,88.5,23,NN,23,Tone->Tone,AM,8.33,,5.0W,,,,,
200, PI1NOS,1298.375,-,28,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
