!! # Radio information (in parts):
Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1, PI3UTR,145.575,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
2, PI2NOS,430.125,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
3, PI2HVS,438.1375,-,7.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
4, PI2SWK,430.225,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
5, PI2AMF,430.25,+,1.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
6, PI3AMF,145.625,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
7, PI2ZST  T,430.075,+,1.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
8, PI2RTD,430.3,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
9, PI3RTD,145.675,-,0.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
10, PI2HLM,430.25,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
11, PI3ASD,145.7875,-,0.6,Tone,110.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
12, PI2HGL,430.35,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
13, PI1DFT,430.0875,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
14, PI2NWK,430.05,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
15, PI2GOR,430.0125,+,1.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
16, PI2FLD,430.2875,+,1.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
17, PA0FLR,438.7,-,7.6,Tone,131.8,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
18, PI3ZOD  T,145.625,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
19, PI2NON,430.275,+,1.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
20, DB0EE,145.6625,-,0.6,Tone,110.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
21, PI3ZVL,145.6,-,0.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
22, PI3SRT,145.6,-,0.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
23, PI3NOG,145.6125,-,0.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
24, PI2FRL,145.6375,-,0.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
25, PI3NOV,145.675,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
26, PI3HVN,145.7,-,0.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
27, PI3DTC,145.7,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
28, PI3EHV,145.7,-,0.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
29, PI3ZAZ,145.7125,-,0.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
30, PI3APD,145.725,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
31, PI3ZLB,145.725,-,0.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
32, PI2ZLD,145.725,-,0.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
33, PI3FLD,145.7375,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
